Country,year,broad_money,decade,annual change,world_money,gap_world,gap_world_pct
BRA,1976,15.30022331,1970,,61.83287432,-46.53265101,-75.25551985369844
BRA,1977,14.52078666,1970,-0.7794366499999992,62.12656097,-47.60577431,-76.62708762036277
BRA,1978,14.56909626,1970,0.04830959999999962,65.39267936,-50.8235831,-77.72060052808945
BRA,1979,15.29884068,1970,0.7297444199999994,64.11446166,-48.815620980000006,-76.1382373275939
BRA,1980,11.76865071,1980,-3.5301899700000003,62.94883596,-51.180185249999994,-81.30441884981283
BRA,1981,11.52991524,1980,-0.23873546999999995,64.65567791,-53.12576266999999,-82.1672038516872
BRA,1982,10.46821043,1980,-1.0617048100000002,67.39981766,-56.93160723,-84.46848850124915
BRA,1983,10.98583302,1980,0.5176225900000002,70.78738012,-59.80154709999999,-84.4805203959002
BRA,1984,12.78522219,1980,1.7993891700000013,73.1733284,-60.388106210000004,-82.52748307401035
BRA,1985,14.36891681,1980,1.5836946199999993,74.66205194,-60.293135129999996,-80.75472554444771
BRA,1986,20.87996256,1980,6.511045749999999,82.6959625,-61.81599994,-74.75092866837363
BRA,1987,20.65932161,1980,-0.22064094999999995,87.37848082,-66.71915920999999,-76.35651087530546
BRA,1988,80.44763566,1980,59.788314050000004,91.01066932,-10.563033660000002,-11.606368504839386
BRA,1989,111.3253039,1980,30.87766823999999,92.20289031,19.122413589999994,20.739494744370333
BRA,1990,30.39451422,1990,-80.93078967999999,86.94825158,-56.55373736,-65.0429839960216
BRA,1991,35.02960132,1990,4.635087099999996,88.3276964,-53.298095079999996,-60.3413167695835
BRA,1992,60.93240882,1990,25.9028075,86.93232118,-25.999912360000003,-29.90822286473313
BRA,1993,93.65884647,1990,32.72643765,90.52539451,3.133451960000002,3.4614065776359157
BRA,1994,45.4613038,1990,-48.19754267,90.31074809,-44.84944429,-49.66124767929602
BRA,1995,32.44854688,1990,-13.012756920000001,91.48657165,-59.03802477,-64.53190201056135
BRA,1996,35.11848156,1990,2.6699346799999972,88.696028,-53.57754644,-60.40580130600662
BRA,1997,36.96512905,1990,1.8466474900000023,89.15721512,-52.19208607,-58.53938573535831
BRA,1998,39.33173174,1990,2.3666026900000006,91.89188709,-52.560155349999995,-57.197819105098965
BRA,1999,42.81105421,1990,3.4793224699999996,98.57277603,-55.76172182,-56.56908942386818
BRA,2000,46.48658781,2000,3.6755336000000014,98.65619483,-52.16960702,-52.88021407058763
BRA,2001,58.63617172,2000,12.149583909999997,95.42573014,-36.78955842,-38.55308035476981
BRA,2002,55.00498217,2000,-3.631189550000002,96.23554479,-41.23056262000001,-42.84338256719085
BRA,2003,56.5263638,2000,1.5213816300000005,97.0956432,-40.5692794,-41.78280102273425
BRA,2004,56.33206511,2000,-0.19429868999999655,95.91436236,-39.582297249999996,-41.26837344905015
BRA,2005,60.13304446,2000,3.8009793499999986,95.29212519,-35.15908072999999,-36.89610307241799
BRA,2006,63.24977948,2000,3.11673502,96.10562116,-32.85584168,-34.18722160413535
BRA,2007,68.35919863,2000,5.109419149999994,96.41543203,-28.05623340000001,-29.099318241161036
BRA,2008,70.48945297,2000,2.1302543400000076,100.0025134,-29.513060429999996,-29.51231866738261
BRA,2009,76.09041944,2000,5.600966470000003,111.0087715,-34.91835205999999,-31.45548913673006
BRA,2010,74.21938015,2010,-1.8710392899999988,107.9480905,-33.72871035,-31.245305214546615
BRA,2011,76.82527514,2010,2.605894989999996,109.1949223,-32.36964716,-29.64391244408624
BRA,2012,79.05286203,2010,2.2275868899999978,111.5060523,-32.45319026999999,-29.10442043332925
BRA,2013,78.62652781,2010,-0.4263342200000011,112.095354,-33.46882619,-29.857460631240794
BRA,2014,81.90656401,2010,3.280036199999998,114.5310446,-32.624480590000005,-28.48527288294724
BRA,2015,88.06962765,2010,6.163063640000004,117.7380764,-29.668448749999996,-25.198686488817135
BRA,2016,93.82113793,2010,5.751510280000005,121.6668651,-27.84572716999999,-22.886861716304704
BRA,2017,93.0595992,2010,-0.7615387300000123,119.9613444,-26.901745200000008,-22.425344876345026
BRA,2018,93.71303403,2010,0.653434830000009,120.2048697,-26.49183567,-22.038903861479746
BRA,2019,96.05785043,2010,2.344816399999999,122.2835326,-26.22568217,-21.446618046099854
BRA,2020,109.1542171,2020,13.096366669999995,140.0833201,-30.929103000000012,-22.079076208302983
