country,year,Broad money (% of GDP),Domestic credit to private sector (% of GDP),"GDP per capita, PPP (constant 2021 international $)",Gross capital formation (% of GDP),"Inflation, GDP deflator (annual %)",world_broad_money,broad_money_gap_world,broad_money_gap_world_pct,broad_money_percentile
ARG,1976,19.05432005,13.56276729,17.59829274,30.72943959,438.3227797,61.83287432,-42.77855427,-69.18415930110363,0.1
ARG,1977,22.47230597,18.38290986,17.59829274,30.9416888,159.4271777,62.12656097,-39.654255,-63.82818295567407,0.3
ARG,1978,24.54096738,20.55711741,17.59829274,27.80015957,161.372172,65.39267936,-40.851711980000005,-62.47138422804641,0.4
ARG,1979,25.86769055,24.05622763,17.59829274,25.85676946,147.377044,64.11446166,-38.246771110000005,-59.653891056316176,0.52
ARG,1980,24.95573441,25.39579275,17.59829274,25.25778629,95.79042461,62.94883596,-37.99310154999999,-60.35552678709135,0.42
ARG,1981,23.41155755,33.55230678,17.59829274,22.69108872,105.2763664,64.65567791,-41.24412036,-63.79040742162098,0.34
ARG,1982,21.24287839,33.90637227,17.59829274,21.75494795,194.5352997,67.39981766,-46.156939269999995,-68.48229100980627,0.24
ARG,1983,21.02593844,28.11827564,17.59829274,20.88775231,380.1585285,70.78738012,-49.76144167999999,-70.29705237804187,0.22
ARG,1984,21.97477621,25.00099884,17.59829274,19.96409245,611.1963039,73.1733284,-51.19855219,-69.96887159502232,0.26
ARG,1985,17.30336287,17.36414138,17.59829274,17.58906692,607.4474978,74.66205194,-57.35868907,-76.82442094692851,0.08
ARG,1986,19.58474074,16.90722949,17.59829274,17.46176421,77.29223669,82.6959625,-63.11122175999999,-76.31717420303319,0.14
ARG,1987,22.0526189,21.29731488,17.59829274,19.554866,127.5399181,87.37848082,-65.32586192,-74.76195661328963,0.28
ARG,1988,25.14760548,20.33583548,17.59829274,18.6400389,381.2463444,91.01066932,-65.86306384000001,-72.36850836512451,0.44
ARG,1989,20.10465632,39.71749502,17.59829274,15.51469828,3046.091152,92.20289031,-72.09823399,-78.19519946456654,0.16
ARG,1990,11.48109468,15.60169481,17007.28443,13.99698158,2078.316818,86.94825158,-75.4671569,-86.79548527846315,0.04
ARG,1991,10.55677756,12.58720349,18295.6092,14.6369774,140.5023787,88.3276964,-77.77091884,-88.04816836590793,0.02
ARG,1992,13.69143719,15.44533545,19476.28406,16.70240577,16.07199354,86.93232118,-73.24088399,-84.25046403437125,0.06
ARG,1993,19.21862334,18.28460493,20791.34515,19.68811042,-3.561095576,90.52539451,-71.30677116999999,-78.76990932320433,0.12
ARG,1994,20.770289,20.280578,21711.84279,19.96562325,2.849339715,90.31074809,-69.54045909000001,-77.00130998881643,0.2
ARG,1995,20.14127137,19.96060756,20819.49995,18.50041051,3.16512339,91.48657165,-71.34530028,-77.9844506065279,0.18
ARG,1996,22.69048015,20.18700183,21695.59495,19.62387245,-0.052375497,88.696028,-66.00554785,-74.41770430802154,0.32
ARG,1997,26.47018463,21.93345876,23172.15834,20.82605155,-0.463913131,89.15721512,-62.687030490000005,-70.31066460030992,0.6
ARG,1998,28.65068486,24.15329877,23783.10172,20.97076915,-1.705279624,91.89188709,-63.24120223,-68.82131190543602,0.82
ARG,1999,31.44367759,24.89334375,22714.51113,17.86292788,-1.836558392,98.57277603,-67.12909844,-68.10105299212603,0.92
ARG,2000,31.84862106,23.89473362,22281.38143,17.53348744,1.037287101,98.65619483,-66.80757377,-67.71756592185606,0.94
ARG,2001,27.13925159,20.83357465,21066.45813,15.62596533,-1.095767718,95.42573014,-68.28647855,-71.55981772402083,0.62
ARG,2002,27.92706955,15.3318584,18571.70205,10.85390524,30.55520405,96.23554479,-68.30847524,-70.98050454128884,0.72
ARG,2003,30.10405723,10.76270592,20005.13851,14.1469621,10.49570302,97.0956432,-66.99158597,-68.99546031330065,0.86
ARG,2004,28.32564647,9.682518196,21591.4494,17.55127036,18.36335425,95.91436236,-67.58871589,-70.46777377960979,0.76
ARG,2005,28.66331028,10.65349292,23262.40758,18.88826414,10.3175112,95.29212519,-66.62881490999999,-69.92058869203606,0.84
ARG,2006,28.04961193,11.91026166,24877.24939,18.68048724,13.74105249,96.10562116,-68.05600923,-70.81376553063215,0.74
ARG,2007,27.86431643,13.09854135,26850.66459,20.0991132,14.93992502,96.41543203,-68.5511156,-71.09973388769349,0.7
ARG,2008,23.49367316,12.31394671,27658.48534,19.57277588,23.17116498,100.0025134,-76.50884024,-76.5069173151402,0.36
ARG,2009,25.32273847,12.41620754,25747.19768,16.05311236,15.37764937,111.0087715,-85.68603302999999,-77.18852471941823,0.46
ARG,2010,25.4406026,12.69010625,28056.25702,17.70553381,20.91512427,107.9480905,-82.5074879,-76.4325589436897,0.48
ARG,2011,24.38712399,14.00871512,29425.75939,18.39845892,23.70347218,109.1949223,-84.80779831000001,-77.66643038309118,0.38
ARG,2012,27.17564527,15.21281502,28825.96669,16.50198653,22.31488067,111.5060523,-84.33040702999999,-75.62854687305614,0.64
ARG,2013,27.19624241,15.72909201,29227.66018,17.3057789,23.94879842,112.095354,-84.89911159,-75.73829651316325,0.66
ARG,2014,25.82170185,13.82376925,28200.81526,17.26288101,40.28297163,114.5310446,-88.70934275,-77.45440815616206,0.5
ARG,2015,27.69088504,14.41423304,28669.20613,17.07070488,26.5799916,117.7380764,-90.04719136,-76.48094322016628,0.68
ARG,2016,28.3723031,13.66763343,27802.10572,17.66322786,41.11937999,121.6668651,-93.294562,-76.68033685533005,0.78
