Country Name,Country Code,Series Name,Series Code,1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Mexico,MEX,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,38.73231218,29.97836668,32.02396234,33.13233377,29.77619214,32.63644311,31.29094902,28.40351693,29.13411489,25.49850291,26.56778188,25.97513147,11.12999972,16.51663765,22.51341708,26.11474576,27.13845607,21.58680066,22.91993355,23.13939381,21.83881419,27.14071542,25.94257689,25.99769685,21.35725151,23.94671874,23.90551374,24.77253782,25.01010318,25.43708318,24.40477832,24.81360874,25.18026361,28.47563996,29.30788464,29.48742624,29.98510736,31.65407987,33.19596884,35.12920262,36.55344349,37.44990477,36.48982086,36.76748873,43.50138124,42.99093586,41.70869538,42.90254144,46.43987476,48.00314815
Colombia,COL,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,26.9615045,27.09666787,27.02171664,25.82029025,28.79579262,31.71815432,31.61340777,33.37463251,32.62114866,31.26952447,..,26.77753567,23.10113893,..,24.11663869,24.72969354,26.93983743,28.46435723,32.10822014,32.92964638,33.41472135,34.25344863,33.04601338,34.27402634,25.82000057,28.50914711,27.45559255,27.33453943,28.85464606,30.90999648,32.28830142,33.75519653,35.9614943,36.92013333,37.93686251,39.65247156,42.74628079,45.37760998,46.37815885,48.99143708,48.91995836,49.02411627,36.91009138,36.86598904,46.94138133,45.8298288,41.75803201,40.36301146,41.63262577,43.05737092
Brazil,BRA,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,15.30022331,14.52078666,14.56909626,15.29884068,11.76865071,11.52991524,10.46821043,10.98583302,12.78522219,14.36891681,20.87996256,20.65932161,80.44763566,111.3253039,30.39451422,35.02960132,60.93240882,93.65884647,45.4613038,32.44854688,35.11848156,36.96512905,39.33173174,42.81105421,46.48658781,58.63617172,55.00498217,56.5263638,56.33206511,60.13304446,63.24977948,68.35919863,70.48945297,76.09041944,74.21938015,76.82527514,79.05286203,78.62652781,81.90656401,88.06962765,93.82113793,93.0595992,93.71303403,96.05785043,109.1542171,103.4656345,104.3022143,110.1845393,116.3965549,118.2299013
World,WLD,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,61.83287432,62.12656097,65.39267936,64.11446166,62.94883596,64.65567791,67.39981766,70.78738012,73.1733284,74.66205194,82.6959625,87.37848082,91.01066932,92.20289031,86.94825158,88.3276964,86.93232118,90.52539451,90.31074809,91.48657165,88.696028,89.15721512,91.89188709,98.57277603,98.65619483,95.42573014,96.23554479,97.0956432,95.91436236,95.29212519,96.10562116,96.41543203,100.0025134,111.0087715,107.9480905,109.1949223,111.5060523,112.095354,114.5310446,117.7380764,121.6668651,119.9613444,120.2048697,122.2835326,140.0833201,139.9156172,136.9038372,135.5653641,136.1055622,..
Uruguay,URY,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,26.91812267,30.97361333,38.33838809,37.37554753,39.51424016,45.48544147,63.88495455,52.50320705,58.41878892,52.25060166,54.35695924,45.60122826,46.83627141,53.54206938,55.84337267,48.84356626,42.66986949,38.37694036,36.60305465,36.04285582,36.21040017,33.66339515,36.29611467,40.08127742,43.24048613,49.15120645,59.56629305,58.40820382,48.97946675,45.28475535,45.20977722,39.93378583,43.98744959,37.81978418,40.52392033,41.38090999,40.16449946,41.97292944,44.01859484,49.42991068,46.71193183,44.27518777,45.97603886,48.78338585,59.12690147,58.75064182,52.08044503,50.33792035,54.21914435,51.47128923
Chile,CHL,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,19.36229367,17.37293108,19.73822636,22.65199799,26.44104221,27.51640226,35.88017411,33.01381482,36.21217616,37.64908563,36.6078653,35.93755771,36.00306973,37.80707592,36.99722775,35.84650329,35.73828515,37.21625341,34.75488304,35.61525123,38.67438823,43.3789624,46.80886019,51.89663939,51.58184379,87.55772448,87.08870656,79.32358782,76.11741803,74.65289539,74.67754258,80.24159765,77.25443467,71.88560249,67.19858831,75.27888297,77.62592392,82.10723828,82.86319815,84.36149718,83.17859953,78.71995953,77.62836625,84.34607266,93.45780567,93.68122909,88.58149381,84.7276077,75.30109621,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
