Country Name,Country Code,Series Name,Series Code,1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Chile,CHL,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,19.36229367,17.37293108,19.73822636,22.65199799,26.44104221,27.51640226,35.88017411,33.01381482,36.21217616,37.64908563,36.6078653,35.93755771,36.00306973,37.80707592,36.99722775,35.84650329,35.73828515,37.21625341,34.75488304,35.61525123,38.67438823,43.3789624,46.80886019,51.89663939,51.58184379,87.55772448,87.08870656,79.32358782,76.11741803,74.65289539,74.67754258,80.24159765,77.25443467,71.88560249,67.19858831,75.27888297,77.62592392,82.10723828,82.86319815,84.36149718,83.17859953,78.71995953,77.62836625,84.34607266,93.45780567,93.68122909,88.58149381,84.7276077,75.30109621,..
Chile,CHL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10955.24865,11610.27833,12738.61632,13380.47222,13849.6261,14911.56407,15748.46536,16687.85559,17161.03356,16900.1244,17529.4206,17874.53139,18244.51968,18907.34587,19966.70931,20923.47976,21973.73829,22884.29971,23515.34732,23019.02995,24122.47879,25372.27415,26676.81102,27297.81851,27511.561,27817.95848,27965.34735,27899.59798,28499.4064,28227.97905,26258.40386,29106.63565,29560.45138,29600.41886,30267.64409,30863.42232
Chile,CHL,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.08169596,74.34609828,75.83206214,76.74998578,77.63456541,78.11332337,84.07524732,100.1725681,102.6870759,99.47559066,101.8634854,104.2666865,104.1493446,107.2940277,108.6831579,109.6589862,111.8597311,116.0982746,123.2387298,123.5325706,109.2588461,112.6695848,109.5050875,104.5678163,102.084209
Chile,CHL,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,13.33411356,14.97208036,18.47517691,18.36829301,21.69175821,22.98815887,11.61039098,11.99925991,19.01545941,16.84000472,18.57287383,22.00385354,23.03060462,25.65929464,25.72326538,23.34167628,24.86355747,27.78129126,25.53433688,27.52926225,29.88121344,29.85926633,28.61868509,22.55047421,23.75075659,24.09121495,24.10838935,23.39913738,21.2432281,23.2677017,22.18632046,22.34802283,28.89694243,22.92000729,24.77546713,26.64629736,28.7913494,27.49695956,25.15809358,25.59943821,23.70878973,22.63666974,24.20307868,24.94531502,21.07732858,24.1498842,25.76704006,23.33312782,23.11926696,24.05703861
Chile,CHL,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,245.6523127,101.3044307,56.09346368,47.44910461,28.71981002,11.42005043,7.170555404,31.35351301,16.12825952,41.85818955,21.86994435,25.52401652,20.40988841,13.35648749,22.55369983,21.61728382,13.41683218,12.09738027,13.80059455,11.06416244,3.248659464,3.330580503,0.778990207,2.187767871,4.560043487,4.277146982,3.340660372,4.300300884,7.024761707,7.120315352,12.34989592,5.088757067,0.311132499,3.577795042,8.857441489,3.260514866,0.763466681,2.260770609,5.852891626,4.95436553,4.560656037,4.828191886,1.590199737,2.566359255,9.678663681,6.883001727,7.547519855,6.55832071,7.127812653,6.803213574
Colombia,COL,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,26.9615045,27.09666787,27.02171664,25.82029025,28.79579262,31.71815432,31.61340777,33.37463251,32.62114866,31.26952447,..,26.77753567,23.10113893,..,24.11663869,24.72969354,26.93983743,28.46435723,32.10822014,32.92964638,33.41472135,34.25344863,33.04601338,34.27402634,25.82000057,28.50914711,27.45559255,27.33453943,28.85464606,30.90999648,32.28830142,33.75519653,35.9614943,36.92013333,37.93686251,39.65247156,42.74628079,45.37760998,46.37815885,48.99143708,48.91995836,49.02411627,36.91009138,36.86598904,46.94138133,45.8298288,41.75803201,40.36301146,41.63262577,43.05737092
Colombia,COL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9998.810697,9996.09786,10196.43297,10533.11496,10927.93895,11279.00046,11303.13089,11483.50501,11343.87991,10679.70927,10813.49423,10823.45049,10925.14856,11183.29118,11607.93849,11999.25496,12636.62466,13318.30331,13591.0609,13586.75184,14037.06427,14852.36995,15279.479,15912.24713,16480.36315,16821.38014,17003.24437,16986.03342,17104.13135,17336.7716,15861.49993,17383.09017,18458.72095,18406.62423,18481.83749,18778.64826
Colombia,COL,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,28.59488605,27.36132196,27.80809401,27.19737352,30.46462293,32.82226458,34.17445575,36.73227494,37.32248539,35.62752083,..,25.48998188,23.22072451,..,25.91059165,23.40430918,25.24216003,28.67135265,31.07361273,33.66342958,35.32348263,36.47584514,35.21855052,31.65418344,20.94747439,21.9066126,21.52330896,21.07623501,22.19913866,22.75271861,27.3293272,30.56656822,31.34288213,30.05884981,32.35295864,34.95997389,37.74485153,39.48369169,42.3846057,46.9053936,47.05419781,49.8054214,45.87070747,46.04157811,51.99877906,47.91240607,44.18831296,41.5886838,39.37408267,39.85652811
Colombia,COL,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,17.56270314,18.75203379,18.28426355,18.15098539,19.06853774,20.62399478,20.4871425,19.8932137,18.96497004,19.0409037,18.00116265,19.99748878,21.98974065,19.97575416,20.60673055,19.10546385,20.55450146,24.94213311,25.53844675,25.79874333,22.15093866,20.92375062,19.72807918,12.88013417,14.89562703,16.03225135,17.25154184,18.68181902,19.44099661,21.65624131,22.9389629,23.45428069,23.72092145,21.98758309,21.88876227,22.99559144,22.10464406,22.18254485,24.00331366,23.77369229,23.16741956,21.59937684,21.19547556,21.38060955,19.12814694,18.91695189,19.7872446,16.38060736,16.47255964,16.71905046
Colombia,COL,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,25.45755816,29.15281707,17.09993136,24.04062554,27.61593603,22.7658773,24.76645731,20.4025757,22.1802267,24.88350804,29.16892637,23.37693652,27.75005625,24.68581614,52.33610317,27.00577404,22.66438495,24.84157828,22.09637826,18.85095726,16.86837879,16.83985293,14.77304541,12.62294083,33.67537051,6.518448292,5.968190572,6.829014842,7.283033407,4.753196108,5.807660873,5.202033812,7.677382915,4.064225467,3.804860291,6.386803373,3.616655063,1.907676432,2.235632376,2.449328421,5.148334305,5.1337359,4.630579673,4.002620543,1.48172462,7.802113095,14.92503668,6.992906539,6.357571171,5.422716818
